 ID,Company,Product,Issue,State,Submitted via,Date received,Date resolved,Timely response?,Consumer disputed?,state name,Date received,Date resolved,Resolution time(in days),Year,QTR (US FLY)
743861,Exeter Finance Corp,Consumer Loan,Problems when you are unable to pay,NY,Web,05/03/2014,05/03/2014,Yes,No,New York,03/05/2014,03/05/2014,0,2014,Q1
1421255,FirstBank of Puerto Rico,Bank account or service,"Account opening, closing, or management",FL,Email,06/15/2015,06/19/2015,No,No,Florida,6/15/2015,6/19/2015,4,2015,Q2
1813220,Nationstar Mortgage,Mortgage,"Application, originator, mortgage broker",NY,Web,02/03/2016,02/03/2016,Yes,No,New York,03/02/2016,03/02/2016,0,2016,Q1
2065159,Equifax,Credit reporting,Credit reporting company's investigation,AZ,Web,08/16/2016,08/16/2016,Yes,No,Arizona,8/16/2016,8/16/2016,0,2016,Q3
2019593,Citibank,Credit card,Advertising and marketing,LA,Web,07/19/2016,07/19/2016,Yes,No,Louisiana,7/19/2016,7/19/2016,0,2016,Q3
322953,Citibank,Bank account or service,"Account opening, closing, or management",NY,Phone,02/20/2013,02/21/2013,Yes,No,New York,2/20/2013,2/21/2013,1,2013,Q1
1247480,Bank of America,Bank account or service,Using a debit or ATM card,CA,Email,02/19/2015,02/20/2015,Yes,Yes,California,2/19/2015,2/20/2015,1,2015,Q1
503590,Ocwen,Mortgage,Settlement process and costs,WA,Web,08/24/2013,08/26/2013,Yes,Yes,Washington,8/24/2013,8/26/2013,2,2013,Q3
1619442,"Convergent Resources, Inc.",Debt collection,Taking/threatening an illegal action,TX,Web,10/22/2015,10/22/2015,Yes,Yes,Texas,10/22/2015,10/22/2015,0,2015,Q4
557861,Ditech Financial LLC,Debt collection,Communication tactics,AR,Web,11/10/2013,11/10/2013,Yes,Yes,Arkansas,10/11/2013,10/11/2013,0,2013,Q4
1257853,"Receivables Management Partners, LLC",Debt collection,"Loan modification,collection,foreclosure",MD,Phone,02/26/2015,03/03/2015,Yes,No,Maryland,2/26/2015,03/03/2015,5,2015,Q1
1926083,PNC Bank N.A.,Mortgage,"Loan servicing, payments, escrow account",CO,Web,05/16/2016,05/16/2016,Yes,No,Colorado,5/16/2016,5/16/2016,0,2016,Q2
1552721,Ocwen,Mortgage,"Loan servicing, payments, escrow account",FL,Web,04/09/2015,04/09/2015,Yes,No,Florida,09/04/2015,09/04/2015,0,2015,Q3
1749949,Bank of America,Bank account or service,"Account opening, closing, or management",FL,Phone,01/20/2016,01/20/2016,Yes,No,Florida,1/20/2016,1/20/2016,0,2016,Q1
1914214,Ditech Financial LLC,Mortgage,"Loan servicing, payments, escrow account",OR,Web,06/05/2016,06/05/2016,Yes,No,Oregon,05/06/2016,05/06/2016,0,2016,Q2
985207,"Integrity Solution Services, Inc.",Debt collection,Communication tactics,TN,Web,08/14/2014,08/14/2014,Yes,No,Tennessee,8/14/2014,8/14/2014,0,2014,Q3
1396602,"OneMain Financial Holdings, LLC",Consumer Loan,Problems when you are unable to pay,CA,Web,05/28/2015,05/29/2015,Yes,No,California,5/28/2015,5/29/2015,1,2015,Q2
1999311,"Navient Solutions, Inc.",Student loan,Can't repay my loan,TX,Web,06/07/2016,06/07/2016,Yes,Yes,Texas,07/06/2016,07/06/2016,0,2016,Q3
1279112,Capital One,Credit card,Identity theft / Fraud / Embezzlement,VA,Web,12/03/2015,12/03/2015,Yes,No,Virginia,03/12/2015,03/12/2015,0,2015,Q1
1219481,Synchrony Financial,Credit card,Credit line increase/decrease,CA,Web,01/31/2015,01/31/2015,Yes,No,California,1/31/2015,1/31/2015,0,2015,Q1
